part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,english_score,career_Accountant,career_Artist,career_Banker,career_Business Owner,career_Construction Engineer,career_Designer,career_Doctor,career_Game Developer,career_Government Officer,career_Lawyer,career_Real Estate Developer,career_Scientist,career_Software Engineer,career_Stock Investor,career_Writer
0,3,0,27,80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,5,0,10,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,23,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,1,34,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,6,0,25,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,7,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2,1,28,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,37,87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,3,0,15,97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,8,0,4,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,9,0,1,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,3,0,34,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,23,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,17,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,30,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,19,91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,29,91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,4,0,21,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,18,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0,4,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,4,0,3,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,5,1,5,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,28,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,6,1,16,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,9,0,0,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2,0,3,77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,18,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,26,95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,4,0,23,96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,7,0,2,96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2,0,18,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,3,0,27,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,0,8,97,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,4,0,14,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,8,0,3,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,3,0,16,75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,7,0,32,93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3,0,28,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,24,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,0,16,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,3,0,29,85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,14,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,10,98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,5,0,31,98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,4,0,34,67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,3,0,4,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,28,83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,5,0,29,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,6,0,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,31,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,5,1,13,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,24,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2,1,4,93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,6,1,0,94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2,0,24,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,19,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,4,0,26,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,4,0,41,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,3,68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,4,1,14,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,1,27,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,0,93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,3,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,2,0,12,96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,23,93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,16,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,1,3,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,18,80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,0,6,98,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,8,0,2,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,34,87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,8,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,13,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,0,1,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,7,1,3,72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,4,1,33,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,12,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,24,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,4,0,33,97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,44,97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,9,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,1,34,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,33,97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2,0,20,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,15,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,12,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,2,1,5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,31,86,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,8,1,5,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,5,0,26,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,26,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,5,0,9,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,4,0,21,83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,34,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,1,27,80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,0,17,95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,5,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,12,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,41,87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,4,0,32,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,4,89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2,0,2,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,1,34,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,2,66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,7,0,33,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,5,0,17,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,7,0,4,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,3,0,6,85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,7,0,9,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,35,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,5,0,16,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,7,0,0,74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2,0,27,84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,24,72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,2,0,30,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,20,93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,27,92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,6,0,2,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,27,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,4,1,24,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,23,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,15,71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,0,25,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,3,0,35,87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,3,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,3,0,35,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,12,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,4,0,2,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,16,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,4,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,3,0,19,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,3,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,25,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,24,92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,15,68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,33,80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,3,0,10,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,34,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3,0,30,81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,5,1,29,67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,4,0,31,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,3,0,20,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,11,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,34,87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,0,35,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,20,65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,7,0,1,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,6,0,17,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,6,0,34,91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,3,0,8,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,4,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,13,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2,0,27,82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,5,0,32,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,31,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,9,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,7,0,6,69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,0,7,83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,32,92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,5,1,30,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,9,0,4,83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2,0,2,77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,8,1,32,83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2,0,24,79,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,16,82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,15,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3,0,26,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,14,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,1,97,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,5,0,10,73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,2,0,26,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,1,21,64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,30,98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,0,11,86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,3,0,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,3,0,32,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,0,32,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,25,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,7,1,4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,7,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,3,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,0,1,78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,4,1,23,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,30,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,0,48,89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,4,1,24,72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,7,0,0,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,9,0,2,74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,32,80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,4,0,32,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,0,16,77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,4,0,28,85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,7,0,30,68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,5,0,18,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,23,92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,4,1,23,94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,1,37,92,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,3,0,29,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,4,54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,7,0,1,92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,3,1,24,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,5,0,23,68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,6,0,19,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,33,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,5,0,33,95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,0,18,94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,9,0,4,94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,6,0,10,67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,0,22,93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,0,2,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,3,0,24,75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,0,15,94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,8,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,4,0,33,94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,0,2,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,3,0,20,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,24,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,30,77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,25,86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,1,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,4,0,27,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,4,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,4,0,28,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,0,4,93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,31,83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,5,0,17,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,2,0,23,97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,0,19,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,4,1,26,93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,22,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,6,1,4,92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,8,1,21,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,5,0,15,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,10,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,1,3,87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,2,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,46,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,3,0,31,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,33,91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2,0,19,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,25,85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,21,77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,4,0,30,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,27,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,5,0,33,81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,7,0,25,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,6,0,34,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,4,0,28,71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,6,0,22,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,0,0,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,5,0,22,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,25,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,19,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,7,0,2,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,4,0,5,78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,0,26,81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2,0,32,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,35,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,29,88,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,3,1,12,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,2,0,35,97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,2,91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,7,83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,0,35,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,28,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,4,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,16,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,26,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,30,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,30,96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,1,15,94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,8,1,1,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,3,1,6,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,9,1,5,72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,30,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,8,85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,9,0,5,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,4,0,4,91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5,0,3,83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,3,0,6,97,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,6,0,34,87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,3,0,26,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,0,46,91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,0,46,96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,4,0,2,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,32,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,4,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,8,91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,28,91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,4,0,3,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,3,0,25,92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,4,89,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,0,16,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,35,91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,0,24,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,46,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,5,0,26,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,4,89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,27,89,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,3,0,0,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,1,16,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,1,14,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,5,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,1,12,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,2,87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,6,1,24,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,0,98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,18,68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
